,full,full,part0,part0,part1,part1,part2,part2,part3,part3,part4,part4,part5,part5,part6,part6,part7,part7,part8,part8,part9,part9
iteration,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test
800000,0.0632388,,0.0770834,0.111987,0.0893982,0.117585,0.0664388,0.117123,0.0999015,0.0978973,0.0652032,0.0966804,0.0643667,0.0941837,0.0627244,0.0937575,0.0722982,0.0873031,0.06272,0.103076,0.0697757,0.124273
810000,0.056111,,0.0734969,,0.0898531,,0.0428873,,0.100199,,0.0481579,,0.0981944,,0.0655618,,0.0899216,,0.0845837,,0.0427156,
820000,0.0894886,,0.102161,,0.0638734,,0.118623,,0.0945002,,0.0729909,,0.112577,,0.0807919,,0.11244,,0.0844946,,0.103252,
830000,0.0922181,,0.106617,,0.141646,,0.0914592,,0.130457,,0.0396811,,0.0689171,,0.0922494,,0.0629614,,0.0829677,,0.0418418,
840000,0.0240197,,0.120291,,0.0515676,,0.063684,,0.0662723,,0.101895,,0.0915552,,0.0698173,,0.0609024,,0.0469762,,0.0875364,
850000,0.112073,,0.0726645,,0.0675553,,0.0528602,,0.0694942,,0.115295,,0.0537601,,0.0301557,,0.0580419,,0.0880065,,0.107485,
860000,0.135318,,0.10517,,0.0494329,,0.0389965,,0.0589264,,0.0647229,,0.083548,,0.107807,,0.0550823,,0.0848346,,0.0954145,
870000,0.0647198,,0.130631,,0.0579676,,0.044599,,0.10405,,0.0457156,,0.0780357,,0.0554655,,0.0891899,,0.0739616,,0.0421698,
880000,0.0689863,,0.0692489,,0.0900539,,0.0583347,,0.058888,,0.0806674,,0.0842457,,0.0680599,,0.0698581,,0.0680664,,0.153039,
890000,0.0756261,,0.13234,,0.0643944,,0.110202,,0.0802187,,0.0810163,,0.0816242,,0.073899,,0.0406541,,0.055284,,0.0973653,
