,full,full,part0,part0,part1,part1,part2,part2,part3,part3,part4,part4,part5,part5,part6,part6,part7,part7,part8,part8,part9,part9
iteration,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test
7100,0.0970375,,0.0973107,,0.0978001,,0.0966752,,0.0937175,,0.0980351,,0.096288,,0.100201,,0.100789,,0.0972977,,0.100246,
7200,0.0950628,,0.0960993,,0.0995642,,0.096044,,0.094731,,0.0972243,,0.0998029,,0.0983474,,0.101919,,0.102171,,0.0933778,
7300,0.0980043,,0.0992106,,0.0988875,,0.0980261,,0.0989765,,0.0963625,,0.0998516,,0.0948435,,0.0953426,,0.0988108,,0.0982352,
7400,0.100849,,0.0946198,,0.095438,,0.0949937,,0.0972547,,0.0942859,,0.0939486,,0.0989522,,0.0973007,,0.0931817,,0.101171,
7500,0.101013,,0.0975952,,0.0962064,,0.0976006,,0.0942399,,0.0978775,,0.0963069,,0.101601,,0.103096,,0.0957166,,0.0947485,
7600,0.100915,,0.0979107,,0.0975033,,0.0962671,,0.0968565,,0.0999576,,0.0986879,,0.0964515,,0.0968105,,0.0993478,,0.0985493,
7700,0.100071,,0.0943576,,0.0996216,,0.09796,,0.100593,,0.0986059,,0.0998202,,0.0960337,,0.0946188,,0.100121,,0.0951177,
7800,0.099487,,0.0968692,,0.0958196,,0.094393,,0.0940943,,0.0949973,,0.0938357,,0.0993021,,0.0991249,,0.0927672,,0.0959317,
7900,0.0978347,,0.0991799,,0.0944354,,0.0959685,,0.0980736,,0.0937268,,0.0959624,,0.100233,,0.10128,,0.09365,,0.100562,
8000,0.094993,,0.0936098,0.118407,0.0975852,0.0957285,0.094279,0.102217,0.100243,0.103189,0.0963619,0.105144,0.0988283,0.10192,0.0947863,0.094181,0.095136,0.0887587,0.098829,0.101745,0.0942457,0.0989351
8100,0.09407,,0.0965045,,0.0995424,,0.0967168,,0.0934306,,0.0991959,,0.100013,,0.0957203,,0.098527,,0.100416,,0.0979735,
8200,0.0937531,,0.0992878,,0.0982884,,0.0962918,,0.0943888,,0.0966953,,0.0942974,,0.0981198,,0.102029,,0.0928109,,0.0961023,
8300,0.0947625,,0.0933875,,0.0945887,,0.095229,,0.0991025,,0.0946867,,0.0956486,,0.0990025,,0.0941379,,0.0932392,,0.0950787,
8400,0.0949726,,0.0953821,,0.0958113,,0.0972527,,0.0965154,,0.094059,,0.0983844,,0.0950068,,0.0956993,,0.0987561,,0.100833,
8500,0.0954523,,0.0991436,,0.0971276,,0.0943795,,0.0938182,,0.0916967,,0.0995459,,0.0961666,,0.0993001,,0.100571,,0.0938416,
8600,0.0990236,,0.0943308,,0.0993878,,0.096884,,0.0958122,,0.099211,,0.0937692,,0.099407,,0.0993769,,0.0954476,,0.0997969,
8700,0.0995377,,0.0954481,,0.095297,,0.0955989,,0.100055,,0.0987879,,0.0953332,,0.0977492,,0.0945135,,0.0923371,,0.0973958,
8800,0.0991857,,0.0964421,,0.0935225,,0.0971787,,0.09333,,0.0984229,,0.0981477,,0.0940274,,0.100668,,0.0969903,,0.0937247,
8900,0.101378,,0.0933321,,0.0975135,,0.0938649,,0.0987939,,0.093743,,0.0992767,,0.0983184,,0.100343,,0.101201,,0.101181,
9000,0.097095,,0.0955789,0.118513,0.0995915,0.0953099,0.0950836,0.102014,0.0996043,0.102531,0.0926461,0.105012,0.0939516,0.101269,0.100708,0.0939015,0.0945009,0.0882497,0.0977229,0.101311,0.0935083,0.0989065
9100,0.100369,,0.0957883,,0.0980782,,0.0938619,,0.0937762,,0.0973009,,0.0951273,,0.0957625,,0.0960781,,0.0925179,,0.098984,
9200,0.0964147,,0.0920104,,0.094021,,0.0960476,,0.0939278,,0.0994393,,0.0982078,,0.0950727,,0.101148,,0.0946099,,0.098049,
9300,0.0935812,,0.0967655,,0.0953485,,0.0954671,,0.0984976,,0.0970156,,0.0991082,,0.0985082,,0.0977648,,0.099259,,0.0938812,
9400,0.0933559,,0.0929626,,0.0967913,,0.0943968,,0.0964737,,0.0936077,,0.0937548,,0.0993936,,0.094534,,0.0994725,,0.100109,
9500,0.0937963,,0.0930117,,0.0990501,,0.0965643,,0.0924822,,0.0926693,,0.0947321,,0.0940616,,0.100631,,0.0926331,,0.0919954,
9600,0.0948558,,0.0969888,,0.0945217,,0.0935442,,0.0955789,,0.0944881,,0.0978751,,0.0948204,,0.100325,,0.0928878,,0.0993649,
9700,0.0940768,,0.0928068,,0.0930639,,0.096441,,0.0997381,,0.0976106,,0.098622,,0.0975142,,0.0943029,,0.0970984,,0.0994309,
9800,0.0961905,,0.09332,,0.0970559,,0.0946399,,0.0923211,,0.0971331,,0.0940506,,0.0984655,,0.0969444,,0.0997536,,0.0926809,
9900,0.099218,,0.0987998,,0.0988999,,0.096545,,0.0989644,,0.0961158,,0.0946833,,0.0942545,,0.102506,,0.0931289,,0.100148,
